problem	agents	FF-h0/totalTimeM	FF-h0/totalTimeV	FF-h0/expandedStatesM	FF-h0/expandedStatesV	FF-h0/totalBytesM	FF-h0/totalBytesV	FF-h0/planLengthM	FF-h0/planLengthV	PPsaFF-sync-h-1/totalTimeM	PPsaFF-sync-h-1/totalTimeV	PPsaFF-sync-h-1/expandedStatesM	PPsaFF-sync-h-1/expandedStatesV	PPsaFF-sync-h-1/totalBytesM	PPsaFF-sync-h-1/totalBytesV	PPsaFF-sync-h-1/planLengthM	PPsaFF-sync-h-1/planLengthV	PPsaFF-glcl-h-1/totalTimeM	PPsaFF-glcl-h-1/totalTimeV	PPsaFF-glcl-h-1/expandedStatesM	PPsaFF-glcl-h-1/expandedStatesV	PPsaFF-glcl-h-1/totalBytesM	PPsaFF-glcl-h-1/totalBytesV	PPsaFF-glcl-h-1/planLengthM	PPsaFF-glcl-h-1/planLengthV
benchmarks/openstacks/p16.pddl	 2.0	  10.6	4.3	   20.3	13	   5.5	2.5	144.0	9	 16.8	15	  21.2	31.2	  11.2	11.8	150.0	3	  8.5	3.6	   9.9	6.2	  4.1	2.8	150.0	5
benchmarks/openstacks/p17.pddl	 2.0	   5.6	0.6	    7.6	1.6	   2.3	0.5	146.0	8	 27.0	40.7	  37.8	68.4	  17.8	29.6	150.0	6	  6.6	1	   7.0	2.4	  2.8	1.2	149.0	6
benchmarks/openstacks/p18.pddl	 2.0	  12.7	11.5	   24.9	27.2	   6.4	6.2	148.0	7	 92.6	224.9	 190.7	492.1	  73.1	183.3	147.0	3	 19.1	28.7	  34.0	65.8	 13.8	26.3	152.0	5
benchmarks/openstacks/p19.pddl	 2.0	  10.5	3	   11.1	5.3	   4.1	2	194.0	5	112.5	145	  64.4	80.2	  67.7	83.8	188.0	1	 24.7	9.4	  25.6	13.5	 13.5	7	188.0	10
benchmarks/openstacks/p20.pddl	 2.0	  18.6	9.2	   25.5	17.1	   9.3	6.2	186.0	9	427.0	209.2	 373.6	233.3	 230.3	103.5	186.0	3	 21.2	9.1	  18.8	9.3	  9.9	5.1	183.0	8
benchmarks/openstacks/p21.pddl	 2.0	  14.4	4.4	   17.3	7.4	   6.4	2.8	190.0	7	 28.6	15.3	  20.3	12.5	  17.4	9.4	189.0	7	 23.9	7.5	  23.0	8.4	 12.3	4.5	188.0	8
benchmarks/openstacks/p22.pddl	 2.0	  78.6	43.6	   72.6	43.5	  33.0	20.1	219.0	6	 23.8	--	   6.2	--	   6.9	--	220.0	--	 30.1	2.7	  14.6	3.4	  8.6	1.7	226.0	6
benchmarks/openstacks/p23.pddl	 2.0	  67.6	--	   64.2	--	  28.0	--	207.0	--	202.4	--	  83.9	--	  97.2	--	237.0	--	 41.8	10.2	  22.7	7.1	 14.2	5	228.0	6
benchmarks/openstacks/p24.pddl	 2.0	  64.3	44.4	   48.8	35.4	  22.0	16.4	225.0	6	 22.7	11.1	   4.9	4.8	   4.3	3.1	222.0	8	 35.7	--	  14.0	--	  9.7	--	224.0	--
benchmarks/openstacks/p25.pddl	 2.0	 746.5	335.7	  264.1	41.4	 166.7	26.2	307.0	1	103.0	34.4	  17.6	8	  29.1	13.3	302.0	2	559.2	103.8	 185.7	43.7	144.8	34.8	282.0	13
