domain,problem,heuristic,recursionLevel,searchTimeM,planLengthM,expandedStatesM,expandedStatesGlobalM,expandedStatesLocalM,searchMessagesM,heuristicRequestMessagesM,heuristicReplyMessagesM,totalMessagesM,globalSearchTimeM,localSearchTimeM,globalHeuristicTimeM,localHeuristicTimeM,otherHeuristicTimeM
benchmarks/depot,benchmarks/depot/pfile7.pddl,PPsaFF-glcl,-1,  13588.8, 55.8,  86274.4,  3642.2,  82631.4,  30137.2,  27390.4,  27388.4,   84916.0,    14.00,  443.9,    720.6,  10660.9,   124.0
benchmarks/depot,benchmarks/depot/pfile7.pddl,PPsaFF-sync,-1,   4359.5, 70.3,   5491.2,     0.0,      0.0,   2062.8,  38823.8,  38823.3,   79710.0,   512.17,    0.0,   2929.7,      0.0,  1270.3
benchmarks/depot,benchmarks/depot/pfile8.pddl,FF, 0, 108113.1, 95.0, 402848.7,     0.0,      0.0, 170911.6,      0.0,      0.0,  170911.6,  2037.40,    0.0, 148536.3,      0.0,   252.8
benchmarks/depot,benchmarks/depot/pfile8.pddl,PPsaFF-glcl,-1,  63759.5,112.5, 190692.6,  4850.0, 185844.2,  78020.1,  45697.9,  45698.6,  169416.6,    22.00,  887.0,   2447.5,  55828.4,   188.0
benchmarks/depot,benchmarks/depot/pfile8.pddl,PPsaFF-sync,-1, 578914.2,241.8, 485448.5,     0.0,      0.0, 190398.8,2972066.8,2972362.7, 6134828.3, 73040.67,    0.0, 385945.5,      0.0,141854.0
benchmarks/depot,benchmarks/depot/pfile9.pddl,FF, 0,4846772.0,237.0,3580992.0,     0.0,      0.0,1721331.0,      0.0,      0.0, 1721331.0, 31894.00,    0.0,4478947.0,      0.0,  2756.0
benchmarks/depot,benchmarks/depot/pfile9.pddl,PPsaFF-glcl,-1, 844566.1,348.1,1568579.9, 21354.0,1547238.1, 627596.1, 326337.0, 326340.8, 1280273.9,   150.62, 9513.1,  28960.2,1294914.4,  1592.4
benchmarks/depot,benchmarks/depot/pfile9.pddl,PPsaFF-sync,-1, 786819.5,452.5, 371212.0,     0.0,      0.0, 159452.0,3221691.0,3222403.5, 6603546.5,108330.50,    0.0, 875197.0,      0.0,336945.0
benchmarks/driverlog,benchmarks/driverlog/pfile10.pddl,FF, 0,    947.9, 65.1,   5073.0,     0.0,      0.0,   2760.0,      0.0,      0.0,    2760.0,    57.50,    0.0,    915.1,      0.0,     8.2
benchmarks/driverlog,benchmarks/driverlog/pfile10.pddl,PPsaFF-glcl,-1,    640.1, 38.6,   2356.2,   922.2,   1434.3,   1332.0,   1821.2,   1821.1,    4974.3,    13.20,   18.1,    129.0,    244.1,     5.6
benchmarks/driverlog,benchmarks/driverlog/pfile10.pddl,PPsaFF-sync,-1,   1323.1, 56.2,   2310.9,     0.0,      0.0,   1303.2,   4069.4,   4069.7,    9442.3,   105.10,    0.0,    462.2,      0.0,    67.8
benchmarks/driverlog,benchmarks/driverlog/pfile11.pddl,FF, 0,    272.1, 46.3,    951.5,     0.0,      0.0,    497.7,      0.0,      0.0,     497.7,    20.40,    0.0,    409.6,      0.0,     2.8
benchmarks/driverlog,benchmarks/driverlog/pfile11.pddl,PPsaFF-glcl,-1,    747.0, 55.7,   4312.4,  1727.0,   2585.8,   2159.4,   3150.2,   3149.7,    8459.3,    18.10,   28.1,    202.7,    339.7,     9.6
benchmarks/driverlog,benchmarks/driverlog/pfile11.pddl,PPsaFF-sync,-1,   1523.5, 99.6,   7389.3,     0.0,      0.0,   3615.4,  12473.5,  12473.9,   28562.8,   227.60,    0.0,   1005.5,      0.0,   162.3
benchmarks/driverlog,benchmarks/driverlog/pfile12.pddl,FF, 0,   7929.7,112.9,  48772.6,     0.0,      0.0,  25082.0,      0.0,      0.0,   25082.0,   234.80,    0.0,   7397.0,      0.0,    38.8
benchmarks/driverlog,benchmarks/driverlog/pfile12.pddl,PPsaFF-glcl,-1,   5008.2,103.3,  22897.7,  9078.6,  13825.7,  12420.8,  16868.0,  16868.9,   46157.7,    49.70,   84.6,   1051.3,   1988.5,    22.9
benchmarks/driverlog,benchmarks/driverlog/pfile12.pddl,PPsaFF-sync,-1,   1826.8, 99.8,   3797.1,     0.0,      0.0,   2040.7,   6830.2,   6830.6,   15701.5,   138.50,    0.0,    900.0,      0.0,    91.1
benchmarks/driverlog,benchmarks/driverlog/pfile13.pddl,FF, 0,    680.0, 68.5,   3307.6,     0.0,      0.0,   1212.3,      0.0,      0.0,    1212.3,    41.00,    0.0,    903.2,      0.0,     6.3
benchmarks/driverlog,benchmarks/driverlog/pfile13.pddl,PPsaFF-glcl,-1,   1282.0, 65.9,   4966.6,  1727.7,   3239.4,   1969.1,   5033.1,   5033.0,   12035.2,    16.60,   40.7,    272.0,    670.9,     9.9
benchmarks/driverlog,benchmarks/driverlog/pfile13.pddl,PPsaFF-sync,-1,   1988.2, 88.1,   4583.8,     0.0,      0.0,   2106.8,  10668.4,  10669.9,   23445.1,   220.20,    0.0,    970.1,      0.0,   161.8
benchmarks/driverlog,benchmarks/driverlog/pfile14.pddl,FF, 0,    906.1, 61.8,   1666.2,     0.0,      0.0,    606.0,      0.0,      0.0,     606.0,    43.30,    0.0,   1535.3,      0.0,     4.2
benchmarks/driverlog,benchmarks/driverlog/pfile14.pddl,PPsaFF-glcl,-1,   1362.3, 77.4,   4194.8,   624.2,   3571.7,   1508.8,   3471.8,   3472.4,    8453.0,     8.20,   47.8,    243.5,   1274.9,    10.8
benchmarks/driverlog,benchmarks/driverlog/pfile14.pddl,PPsaFF-sync,-1,   4436.9,133.9,  10744.4,     0.0,      0.0,   3958.5,  48779.5,  48786.4,  101524.4,   742.40,    0.0,   2618.3,      0.0,   460.7
benchmarks/driverlog,benchmarks/driverlog/pfile15.pddl,FF, 0,   5592.5, 80.0,  20643.2,     0.0,      0.0,   9539.9,      0.0,      0.0,    9539.9,   128.70,    0.0,   9615.0,      0.0,    17.1
benchmarks/driverlog,benchmarks/driverlog/pfile15.pddl,PPsaFF-glcl,-1,   2849.0, 82.2,  12493.6,   568.2,  11925.0,   5786.9,   4705.8,   4705.3,   15198.0,     5.50,  109.8,    391.6,   4259.7,    16.4
benchmarks/driverlog,benchmarks/driverlog/pfile16.pddl,FF, 0,1623572.0,191.5,5259782.5,     0.0,      0.0,2762853.0,      0.0,      0.0, 2762853.0, 45777.50,    0.0,6759399.0,      0.0, 11435.5
benchmarks/driverlog,benchmarks/driverlog/pfile16.pddl,PPsaFF-glcl,-1,  50310.0,309.0, 159884.0,  3368.0, 156520.0,  67140.0,  33385.0,  33380.0,  133905.0,    18.00,  732.0,   3413.0, 102044.0,   140.0
benchmarks/driverlog,benchmarks/driverlog/pfile16.pddl,PPsaFF-sync,-1,1368928.0,720.0, 614800.0,     0.0,      0.0, 158874.0,5491732.0,5492760.0,11143366.0,153748.00,    0.0, 845342.0,      0.0,176601.0
benchmarks/driverlog,benchmarks/driverlog/pfile17.pddl,FF, 0,  99190.5,158.4, 111671.0,     0.0,      0.0,  62373.6,      0.0,      0.0,   62373.6,   910.40,    0.0, 259922.0,      0.0,    83.3
benchmarks/driverlog,benchmarks/driverlog/pfile17.pddl,PPsaFF-glcl,-1,  49579.9,175.0,  86199.1,   351.3,  85848.3,  49717.7,   3425.6,   3425.4,   56568.8,     4.70,  473.5,   1033.6, 120385.4,    91.0
benchmarks/driverlog,benchmarks/driverlog/pfile18.pddl,FF, 0,1295645.2,241.6, 751432.1,     0.0,      0.0, 324172.2,      0.0,      0.0,  324172.2, 12631.50,    0.0,3209645.4,      0.0,   741.5
benchmarks/driverlog,benchmarks/driverlog/pfile18.pddl,PPsaFF-glcl,-1, 941163.2,319.4, 502215.8,  5981.6, 496237.2, 191204.4,  77027.0,  77025.8,  345257.2,    42.20, 3441.6,  16447.4,1225403.4,   537.6
benchmarks/driverlog,benchmarks/driverlog/pfile19.pddl,FF, 0,2622743.1,300.1,1128862.5,     0.0,      0.0, 594800.7,      0.0,      0.0,  594800.7, 17110.00,    0.0,7244662.5,      0.0,  1150.9
benchmarks/driverlog,benchmarks/driverlog/pfile19.pddl,PPsaFF-glcl,-1, 681840.4,341.4, 352704.2,  3057.0, 349650.4, 145393.8,  45650.6,  45650.0,  236694.4,    25.80, 2915.4,  16436.0,1872080.4,   392.8
benchmarks/driverlog,benchmarks/driverlog/pfile1.pddl,FF, 0,     24.8,  7.7,     35.1,     0.0,      0.0,     17.5,      0.0,      0.0,      17.5,     4.90,    0.0,     30.8,      0.0,     0.3
benchmarks/driverlog,benchmarks/driverlog/pfile1.pddl,PPsaFF-glcl,-1,     64.8,  8.0,     66.6,    21.1,     46.0,     33.4,     60.5,     60.1,     154.0,     1.50,    3.7,     20.1,     31.2,     0.2
benchmarks/driverlog,benchmarks/driverlog/pfile1.pddl,PPsaFF-sync,-1,     69.3,  7.3,     20.2,     0.0,      0.0,     10.4,     50.1,     49.4,     109.9,     7.80,    0.0,     22.6,      0.0,     3.2
benchmarks/driverlog,benchmarks/driverlog/pfile2.pddl,FF, 0,    300.4, 36.1,    576.6,     0.0,      0.0,    327.7,      0.0,      0.0,     327.7,    19.70,    0.0,    264.8,      0.0,     2.8
benchmarks/driverlog,benchmarks/driverlog/pfile2.pddl,PPsaFF-glcl,-1,    765.0, 26.0,    578.8,   222.8,    356.0,    350.8,    357.1,    357.2,    1065.1,     7.90,   14.7,    148.1,    279.9,     4.7
benchmarks/driverlog,benchmarks/driverlog/pfile2.pddl,PPsaFF-sync,-1,    700.1, 27.4,    320.3,     0.0,      0.0,    169.9,    617.3,    617.4,    1404.6,    45.80,    0.0,    323.4,      0.0,    25.1
benchmarks/driverlog,benchmarks/driverlog/pfile3.pddl,FF, 0,     63.3, 16.7,    120.5,     0.0,      0.0,     65.2,      0.0,      0.0,      65.2,     6.40,    0.0,    103.4,      0.0,     0.4
benchmarks/driverlog,benchmarks/driverlog/pfile3.pddl,PPsaFF-glcl,-1,     96.2, 13.0,    122.1,    38.1,     84.5,     65.2,     74.8,     73.8,     213.8,     1.60,    5.7,     36.8,     74.0,     0.5
benchmarks/driverlog,benchmarks/driverlog/pfile3.pddl,PPsaFF-sync,-1,    577.2, 24.8,    214.7,     0.0,      0.0,    122.4,    344.3,    344.4,     811.1,    29.40,    0.0,    252.3,      0.0,    20.2
benchmarks/driverlog,benchmarks/driverlog/pfile4.pddl,FF, 0,    652.2, 28.9,   2017.5,     0.0,      0.0,   1208.2,      0.0,      0.0,    1208.2,    61.90,    0.0,   1101.9,      0.0,     7.1
benchmarks/driverlog,benchmarks/driverlog/pfile4.pddl,PPsaFF-glcl,-1,    761.0, 27.5,   2644.7,   369.6,   2276.1,   1532.2,   1186.3,   1186.2,    3904.7,     7.30,   52.1,    143.0,    721.1,     9.9
benchmarks/driverlog,benchmarks/driverlog/pfile4.pddl,PPsaFF-sync,-1,    925.4, 34.9,    742.0,     0.0,      0.0,    385.8,   2333.3,   2333.3,    5052.4,   106.10,    0.0,    468.4,      0.0,    70.3
benchmarks/driverlog,benchmarks/driverlog/pfile5.pddl,FF, 0,    291.5, 27.5,    277.3,     0.0,      0.0,    116.9,      0.0,      0.0,     116.9,    13.00,    0.0,    506.1,      0.0,     0.6
benchmarks/driverlog,benchmarks/driverlog/pfile5.pddl,PPsaFF-glcl,-1,    416.4, 29.0,    357.4,    50.4,    307.3,    143.7,    223.5,    222.7,     589.9,     1.70,   13.3,     78.5,    428.4,     1.1
benchmarks/driverlog,benchmarks/driverlog/pfile5.pddl,PPsaFF-sync,-1,   1078.4, 35.2,   1486.4,     0.0,      0.0,    606.3,   5316.1,   5316.6,   11239.0,   158.90,    0.0,    568.8,      0.0,   103.6
