domain,problem,heuristic,recursionLevel,totalTimeM,planLengthM,expandedStatesM
benchmarks/driverlog,benchmarks/driverlog/pfile12.pddl,PPsaFF-glcl,-1,   3597.5,        96.1,   16430.9
benchmarks/driverlog,benchmarks/driverlog/pfile12.pddl,PPsaFF-sync,-1,   3328.5,       109.9,    7058.5
benchmarks/driverlog,benchmarks/driverlog/pfile13.pddl,FF, 0,   2216.8,        76.1,    5907.0
benchmarks/driverlog,benchmarks/driverlog/pfile13.pddl,PPsaFF-glcl,-1,   2781.4,        58.9,    6878.5
benchmarks/driverlog,benchmarks/driverlog/pfile13.pddl,PPsaFF-sync,-1,   2519.7,        64.9,    1933.0
benchmarks/driverlog,benchmarks/driverlog/pfile14.pddl,FF, 0,   3318.2,        89.0,    3090.6
benchmarks/driverlog,benchmarks/driverlog/pfile14.pddl,PPsaFF-glcl,-1,   3709.1,        89.2,    4737.5
benchmarks/driverlog,benchmarks/driverlog/pfile14.pddl,PPsaFF-sync,-1,   5661.8,       122.3,    8761.6
benchmarks/driverlog,benchmarks/driverlog/pfile15.pddl,FF, 0,  14407.7,        74.6,    9724.5
benchmarks/driverlog,benchmarks/driverlog/pfile15.pddl,PPsaFF-glcl,-1,  14865.6,        83.2,   15444.9
benchmarks/driverlog,benchmarks/driverlog/pfile17.pddl,FF, 0, 174207.7,       145.4,   84251.8
benchmarks/driverlog,benchmarks/driverlog/pfile17.pddl,PPsaFF-glcl,-1, 159186.7,       191.2,   94090.1
benchmarks/driverlog,benchmarks/driverlog/pfile18.pddl,FF, 0, 491944.1,       209.8,  390164.3
benchmarks/driverlog,benchmarks/driverlog/pfile18.pddl,PPsaFF-glcl,-1, 588210.9,       290.2,  626405.6
benchmarks/driverlog,benchmarks/driverlog/pfile19.pddl,FF, 0,1005886.0,       230.0,  383253.0
benchmarks/driverlog,benchmarks/driverlog/pfile19.pddl,PPsaFF-glcl,-1, 913141.0,       312.0,  376931.0
