domain,problem,heuristic,recursionLevel,searchTimeM,planLengthM,expandedStatesM,expandedStatesGlobalM,expandedStatesLocalM,searchMessagesM,heuristicRequestMessagesM,heuristicReplyMessagesM,totalMessagesM,globalSearchTimeM,localSearchTimeM,globalHeuristicTimeM,localHeuristicTimeM,otherHeuristicTimeM,domainShort,problemShort,ratioLE,ratioGE,ratioGL,ratioLG,heurTimePerStateL,heurTimePerStateG,heurTimePerStateGO,heurRatio,plotchar,color
benchmarks/openstacks,benchmarks/openstacks/p11.pddl,PPsaFF-glcl,-1,    738.0, 75.0,   2520.0,   720.0,   1800.0,   2076.0,    719.0,    720.0,   3515.0,   5.50,   28.0,   282.5,    729.0,    4.0,openstacks,openstacks/p11.pddl,0.71,0.285714,0.400000,    2.50, 0.405, 0.392, 0.398,  0.98, 6.0,lightblue
benchmarks/openstacks,benchmarks/openstacks/p12.pddl,PPsaFF-glcl,-1,   1606.5, 78.0,   9627.5,  4462.5,   5165.0,   6675.5,   2874.0,   2875.0,  12424.5,  20.50,   49.0,   871.5,   1298.5,   17.0,openstacks,openstacks/p12.pddl,0.54,0.463516,0.863988,    1.16, 0.251, 0.195, 0.199,  0.79, 6.0,lightblue
benchmarks/openstacks,benchmarks/openstacks/p13.pddl,PPsaFF-glcl,-1,   2491.1,108.9,   6557.4,  1598.1,   4959.6,   5464.6,   1597.6,   1598.1,   8660.3,  10.86,   49.1,   821.1,   2788.6,    9.0,openstacks,openstacks/p13.pddl,0.76,0.243709,0.322224,    3.10, 0.562, 0.514, 0.519,  0.92, 6.0,lightblue
benchmarks/openstacks,benchmarks/openstacks/p14.pddl,PPsaFF-glcl,-1,  14134.4,112.4,  61257.6, 37720.7,  23537.7,  44040.0,  15149.1,  15149.6,  74338.7, 176.86,  224.0, 11788.0,   9302.4,   79.9,openstacks,openstacks/p14.pddl,0.38,0.615772,1.602565,    0.62, 0.395, 0.313, 0.315,  0.80, 6.0,lightblue
benchmarks/openstacks,benchmarks/openstacks/p15.pddl,PPsaFF-glcl,-1,   1907.9,111.1,   4660.9,   983.0,   3678.3,   3881.0,    982.4,    983.0,   5846.4,   7.86,   44.1,   608.0,   2201.9,    7.6,openstacks,openstacks/p15.pddl,0.79,0.210903,0.267243,    3.74, 0.599, 0.619, 0.626,  1.05, 6.0,lightblue
benchmarks/openstacks,benchmarks/openstacks/p16.pddl,PPsaFF-glcl,-1,   8382.7,147.9,  10893.1,  2175.9,   8718.0,   9395.4,   2172.6,   2172.9,  13740.9,  18.14,   91.1,  2448.4,  10607.6,   12.9,openstacks,openstacks/p16.pddl,0.80,0.199750,0.249587,    4.01, 1.217, 1.125, 1.131,  0.93, 6.0,lightblue
benchmarks/openstacks,benchmarks/openstacks/p17.pddl,PPsaFF-glcl,-1,  10128.6,150.6,  13648.0,  2930.0,  10718.4,  11998.9,   2923.4,   2924.0,  17846.3,  24.00,  110.6,  3134.0,  12359.3,   14.9,openstacks,openstacks/p17.pddl,0.79,0.214683,0.273362,    3.66, 1.153, 1.070, 1.075,  0.93, 6.0,lightblue
benchmarks/openstacks,benchmarks/openstacks/p18.pddl,PPsaFF-glcl,-1,   9337.8,149.0,  13543.2,  2720.5,  10823.2,  11796.7,   2715.5,   2716.3,  17228.5,  17.83,  104.8,  2702.0,  11970.7,   17.2,openstacks,openstacks/p18.pddl,0.80,0.200876,0.251358,    3.98, 1.106, 0.993, 1.000,  0.90, 6.0,lightblue
benchmarks/openstacks,benchmarks/openstacks/p19.pddl,PPsaFF-glcl,-1,  30090.2,185.0,  23774.8,  5519.5,  18255.5,  21344.2,   5513.0,   5514.0,  32371.2,  56.00,  201.0,  8503.5,  38499.8,   22.8,openstacks,openstacks/p19.pddl,0.77,0.232158,0.302347,    3.31, 2.109, 1.541, 1.545,  0.73, 6.0,lightblue
benchmarks/openstacks,benchmarks/openstacks/p20.pddl,PPsaFF-glcl,-1, 314376.3,193.3, 241224.7,114821.0, 126405.3, 229722.3,  60698.7,  60699.7, 351120.7,1018.00, 1577.3,227542.0, 271687.3,  304.0,openstacks,openstacks/p20.pddl,0.52,0.475992,0.908356,    1.10, 2.149, 1.982, 1.984,  0.92, 6.0,lightblue
